Team,Region,Odds To Make Round of 32,Public,% Diff,Adjusted % Diff,Odds To Make Sweet 16,Public,% Diff,Adjusted % Diff,Odds To Make Elite 8,Public,% Diff,Adjusted % Diff,Odds To Make Final 4,Public,% Diff,Adjusted % Diff,Odds To Make Championship,Public,% Diff,Adjusted % Diff,To Win Tournament,Public,% Diff,Adjusted % Diff
14 Morehead St,East,10.00%,6.90%,3.10%,31.00%,1.80%,2.70%,-0.90%,-1.62%,0.20%,0.60%,-0.40%,-0.08%,0.00%,0.20%,-0.20%,0.00%,0.00%,0.10%,-0.10%,0.00%,0.00%,0.00%,0.00%,0.00%
13 Yale,East,11.30%,8.20%,3.10%,35.03%,3.70%,2.60%,1.10%,4.07%,0.30%,0.50%,-0.20%,-0.06%,0.10%,0.20%,-0.10%,-0.01%,0.00%,0.10%,-0.10%,0.00%,0.00%,0.00%,0.00%,0.00%
14 Oakland,South,7.30%,4.10%,3.20%,23.36%,1.00%,1.30%,-0.30%,-0.30%,0.10%,0.30%,-0.20%,-0.02%,0.00%,0.10%,-0.10%,0.00%,0.00%,0.10%,-0.10%,0.00%,0.00%,0.00%,0.00%,0.00%
15 Lg Beach St,West,8.20%,3.50%,4.70%,38.54%,2.30%,1.50%,0.80%,1.84%,0.40%,0.60%,-0.20%,-0.08%,0.10%,0.20%,-0.10%,-0.01%,0.00%,0.10%,-0.10%,0.00%,0.00%,0.00%,0.00%,0.00%
15 S Dakota St,East,7.70%,3.60%,4.10%,31.57%,2.00%,1.40%,0.60%,1.20%,0.30%,0.60%,-0.30%,-0.09%,0.00%,0.10%,-0.10%,0.00%,0.00%,0.10%,-0.10%,0.00%,0.00%,0.00%,0.00%,0.00%
16 MTST/GRAM,Midwest,2.00%,1.90%,0.10%,0.20%,0.30%,0.70%,-0.40%,-0.12%,0.00%,0.40%,-0.40%,0.00%,0.00%,0.30%,-0.30%,0.00%,0.00%,0.10%,-0.10%,0.00%,0.00%,0.00%,0.00%,0.00%
6 S Carolina,Midwest,43.20%,55.80%,-12.60%,-544.32%,14.50%,17.10%,-2.60%,-37.70%,4.40%,5.20%,-0.80%,-3.52%,1.20%,1.80%,-0.60%,-0.72%,0.30%,0.60%,-0.30%,-0.09%,0.10%,0.20%,-0.10%,-0.01%
12 James Mad,South,32.00%,31.20%,0.80%,25.60%,9.60%,11.00%,-1.40%,-13.44%,2.10%,1.80%,0.30%,0.63%,0.60%,0.70%,-0.10%,-0.06%,0.20%,0.30%,-0.10%,-0.02%,0.00%,0.10%,-0.10%,0.00%
11 Duquesne,East,25.40%,25.40%,0.00%,0.00%,6.80%,3.80%,3.00%,20.40%,1.60%,0.80%,0.80%,1.28%,0.20%,0.20%,0.00%,0.00%,0.10%,0.10%,0.00%,0.00%,0.00%,0.10%,-0.10%,0.00%
12 McNeese St,Midwest,24.50%,23.10%,1.40%,34.30%,9.20%,11.50%,-2.30%,-21.16%,2.00%,2.20%,-0.20%,-0.40%,0.60%,0.50%,0.10%,0.06%,0.10%,0.10%,0.00%,0.00%,0.00%,0.10%,-0.10%,0.00%
15 W Kentucky,South,8.50%,4.40%,4.10%,34.85%,1.60%,1.30%,0.30%,0.48%,0.20%,0.50%,-0.30%,-0.06%,0.00%,0.10%,-0.10%,0.00%,0.00%,0.10%,-0.10%,0.00%,0.00%,0.10%,-0.10%,0.00%
15 St Peters,Midwest,3.60%,4.90%,-1.30%,-4.68%,0.40%,2.00%,-1.60%,-0.64%,0.00%,0.80%,-0.80%,0.00%,0.00%,0.30%,-0.30%,0.00%,0.00%,0.10%,-0.10%,0.00%,0.00%,0.10%,-0.10%,0.00%
