Team,Region,Odds To Make Round of 32,Public,% Diff,Adjusted % Diff,Odds To Make Sweet 16,Public,% Diff,Adjusted % Diff,Odds To Make Elite 8,Public,% Diff,Adjusted % Diff,Odds To Make Final 4,Public,% Diff,Adjusted % Diff,Odds To Make Championship,Public,% Diff,Adjusted % Diff,To Win Tournament,Public,% Diff,Adjusted % Diff
15 S Dakota St,East,8.70%,3.60%,5.10%,44.37%,1.90%,1.40%,0.50%,0.95%,0.10%,0.60%,-0.50%,-0.05%,0.00%,0.10%,-0.10%,0.00%,0.00%,0.10%,-0.10%,0.00%,0.00%,0.00%,0.00%,0.00%
14 Oakland,South,7.80%,4.10%,3.70%,28.86%,1.20%,1.30%,-0.10%,-0.12%,0.20%,0.30%,-0.10%,-0.02%,0.00%,0.10%,-0.10%,0.00%,0.00%,0.10%,-0.10%,0.00%,0.00%,0.00%,0.00%,0.00%
9 TX Christian,Midwest,69.50%,58.20%,11.30%,785.35%,13.20%,7.00%,6.20%,81.84%,5.60%,2.50%,3.10%,17.36%,1.80%,0.60%,1.20%,2.16%,0.70%,0.20%,0.50%,0.35%,0.20%,0.10%,0.10%,0.02%
16 Longwood,South,3.50%,2.00%,1.50%,5.25%,0.70%,0.80%,-0.10%,-0.07%,0.10%,0.50%,-0.40%,-0.04%,0.00%,0.30%,-0.30%,0.00%,0.00%,0.20%,-0.20%,0.00%,0.00%,0.10%,-0.10%,0.00%
14 Colgate,West,9.10%,5.90%,3.20%,29.12%,1.50%,1.80%,-0.30%,-0.45%,0.20%,0.40%,-0.20%,-0.04%,0.00%,0.10%,-0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
10 UVA/CSU,Midwest,38.50%,18.50%,20.00%,770.00%,9.70%,2.50%,7.20%,69.84%,3.40%,0.70%,2.70%,9.18%,0.90%,0.20%,0.70%,0.63%,0.20%,0.10%,0.10%,0.02%,0.10%,0.00%,0.10%,0.01%
16 Stetson,East,2.30%,1.60%,0.70%,1.61%,0.30%,0.70%,-0.40%,-0.12%,0.10%,0.40%,-0.30%,-0.03%,0.00%,0.20%,-0.20%,0.00%,0.00%,0.10%,-0.10%,0.00%,0.00%,0.10%,-0.10%,0.00%
12 UAB,East,25.80%,20.80%,5.00%,129.00%,4.30%,3.50%,0.80%,3.44%,0.40%,0.50%,-0.10%,-0.04%,0.10%,0.20%,-0.10%,-0.01%,0.00%,0.10%,-0.10%,0.00%,0.00%,0.00%,0.00%,0.00%
13 Yale,East,11.80%,8.20%,3.60%,42.48%,4.90%,2.60%,2.30%,11.27%,0.40%,0.50%,-0.10%,-0.04%,0.10%,0.20%,-0.10%,-0.01%,0.00%,0.10%,-0.10%,0.00%,0.00%,0.00%,0.00%,0.00%
11 Oregon,Midwest,48.30%,44.20%,4.10%,198.03%,13.60%,13.10%,0.50%,6.80%,3.00%,3.80%,-0.80%,-2.40%,0.70%,1.10%,-0.40%,-0.28%,0.10%,0.40%,-0.30%,-0.03%,0.00%,0.20%,-0.20%,0.00%
